source,target,year,ref_year,year_diff,type
W2809892058,W2804197698,2018,2018,0,citation
W3138638214,W2387080477,2021,2016,5,citation
W4254077609,W2574839378,2021,2017,4,citation
W4254077609,W2899732531,2021,2019,2,citation
W4254077609,W2912016252,2021,2019,2,citation
W4254077609,W2979446630,2021,2019,2,citation
W4254077609,W3011365646,2021,2020,1,citation
W4287385132,W2342209196,2022,2016,6,citation
W4287385132,W2893452234,2022,2018,4,citation
W4289774623,W2804732352,2022,2018,4,citation
W4289774623,W2895467751,2022,2018,4,citation
W4289774623,W3035403497,2022,2020,2,citation
W3178960719,W2907219204,2021,2019,2,citation
W2542998387,W2492590231,2016,2016,0,citation
W2414478892,W2294488629,2016,2017,-1,citation
W4377564972,W2885150375,2023,2018,5,citation
W4377564972,W2890804331,2023,2018,5,citation
W4377564972,W2896893308,2023,2018,5,citation
W4377564972,W2995312470,2023,2019,4,citation
W4377564972,W2998608723,2023,2019,4,citation
W4377564972,W3012909962,2023,2020,3,citation
W4377564972,W3193201835,2023,2021,2,citation
W4377564972,W4200237170,2023,2021,2,citation
W4378070739,W3162290159,2023,2021,2,citation
W4378070739,W3200254370,2023,2021,2,citation
W4378070739,W4220917797,2023,2022,1,citation
W4380685873,W3100599495,2023,2020,3,citation
W4380848885,W4292451723,2023,2022,1,citation
W4380848885,W4313426831,2023,2022,1,citation
W4405658275,W4225289839,2024,2022,2,citation
W4405703289,W2793069101,2024,2018,6,citation
W4405871915,W2558185986,2024,2017,7,citation
W4405871915,W2964535717,2024,2019,5,citation
W4405891945,W2181158494,2024,2016,8,citation
W4405891945,W2962762178,2024,2019,5,citation
W4405891945,W3178960719,2024,2021,3,citation
W3024268056,W2224359384,2020,2016,4,citation
W3024268056,W2275710147,2020,2016,4,citation
W3024268056,W2336023686,2020,2016,4,citation
W3024268056,W2593019454,2020,2017,3,citation
W3024268056,W2896775444,2020,2018,2,citation
W3036303057,W2471058249,2020,2016,4,citation
W3036303057,W2558185986,2020,2017,3,citation
W3036303057,W3035076551,2020,2020,0,citation
W3134863362,W2736848882,2021,2017,4,citation
W3134863362,W2784547979,2021,2018,3,citation
W4200357604,W2149403632,2021,2018,3,citation
W4365458425,W3111913183,2023,2020,3,citation
W4377233033,W2759815337,2023,2017,6,citation
W4377233033,W2892909727,2023,2018,5,citation
W4377233033,W3046379685,2023,2020,3,citation
W4377233033,W3205928774,2023,2021,2,citation
W4381252514,W4381252514,2023,2023,0,citation
W4381716264,W3189790651,2023,2021,2,citation
W4381716264,W4367308945,2023,2023,0,citation
W4381716264,W4381597315,2023,2023,0,citation
W4384945251,W2737897449,2023,2017,6,citation
W2965261951,W2736310682,2019,2016,3,citation
W4280530914,W3162052895,2022,2021,1,citation
W4403760415,W4402727764,2024,2024,0,citation
W4403789844,W2285968018,2024,2016,8,citation
W4403789844,W2761480722,2024,2017,7,citation
W4399809050,W4399809050,2024,2024,0,citation
W4399817493,W2785210185,2024,2018,6,citation
W2889021075,W2296428434,2018,2016,2,citation
W4387602277,W4206610477,2023,2022,1,citation
W4387602277,W4282938740,2023,2022,1,citation
W4387976657,W3200294589,2023,2021,2,citation
W4387986950,W2990950076,2023,2019,4,citation
W2914067549,W2914067549,2019,2019,0,citation
W3033848468,W1486787620,2020,2016,4,citation
W3033848468,W2739268873,2020,2017,3,citation
W3108845853,W2211460678,2021,2016,5,citation
W3108845853,W2294488629,2021,2017,4,citation
W3108845853,W2558185986,2021,2017,4,citation
W3108845853,W2808019650,2021,2017,4,citation
W3108845853,W2993180841,2021,2020,1,citation
W3108845853,W3035034999,2021,2020,1,citation
W3093734695,W2211460678,2021,2016,5,citation
W3093734695,W2294488629,2021,2017,4,citation
W3093734695,W2471058249,2021,2016,5,citation
W3093734695,W2558185986,2021,2017,4,citation
W3093734695,W2907323068,2021,2019,2,citation
W3093734695,W2981346539,2021,2020,1,citation
W2993180841,W2558185986,2020,2017,3,citation
W2993180841,W2560735998,2020,2017,3,citation
W2993180841,W2965771657,2020,2019,1,citation
W3015507296,W2345136208,2019,2016,3,citation
W4393057994,W4297845970,2024,2022,2,citation
W4393057994,W4389040134,2024,2023,1,citation
W4393096754,W2528569681,2024,2016,8,citation
W4396636843,W2234282832,2024,2016,8,citation
W4396636843,W2339163959,2024,2016,8,citation
W4396636843,W2461810920,2024,2016,8,citation
W4396636843,W2623748831,2024,2017,7,citation
W4396636843,W2792979456,2024,2018,6,citation
W4396636843,W2985498565,2024,2019,5,citation
W4396636843,W4220696655,2024,2022,2,citation
W4396636843,W4320015858,2024,2023,1,citation
W4396636843,W4385392707,2024,2023,1,citation
W4399127507,W4200173483,2024,2021,3,citation
W4399127507,W4313316008,2024,2022,2,citation
W4226071657,W2558185986,2021,2017,4,citation
W4226071657,W2965771657,2021,2019,2,citation
W4226071657,W2994804089,2021,2020,1,citation
W4226071657,W3093734695,2021,2021,0,citation
W4226071657,W3108845853,2021,2021,0,citation
W4366729173,W2546672044,2023,2016,7,citation
W4366729173,W2612526608,2023,2017,6,citation
W4366729173,W2791946429,2023,2018,5,citation
W4366729173,W2798649495,2023,2018,5,citation
W4366729173,W2889284307,2023,2018,5,citation
W4366729173,W2948709946,2023,2019,4,citation
W4366729173,W3123375411,2023,2020,3,citation
W4366729173,W3197468999,2023,2021,2,citation
W4377691959,W2414378065,2023,2016,7,citation
W3031697239,W2791626939,2020,2018,2,citation
W3031697239,W2921284788,2020,2019,1,citation
W3161878688,W2443553636,2021,2016,5,citation
W3161878688,W2994212242,2021,2019,2,citation
W3187600353,W2819713423,2021,2018,3,citation
W3187600353,W2997509481,2021,2019,2,citation
W3155365501,W2765192152,2021,2017,4,citation
W2510789027,W2554229927,2016,2016,0,citation
W4399812881,W3203773675,2024,2021,3,citation
W4399812881,W4280517140,2024,2022,2,citation
W4399827512,W3021214447,2024,2020,4,citation
W4399827512,W4280508350,2024,2022,2,citation
W4399827512,W4385298725,2024,2023,1,citation
W4294891444,W4324116468,2022,2023,-1,citation
W4309738277,W3181241221,2022,2021,1,citation
W4312143923,W2772696116,2022,2017,5,citation
W4312143923,W3047278215,2022,2020,2,citation
W4312143923,W3047863423,2022,2020,2,citation
W4312143923,W3164105091,2022,2021,1,citation
W4312143923,W4296732629,2022,2022,0,citation
W4312143923,W4312143923,2022,2022,0,citation
W3203964387,W2803882181,2021,2018,3,citation
W3203964387,W2809055651,2021,2018,3,citation
W4386568838,W3195149737,2023,2021,2,citation
W4220964100,W3013882546,2022,2020,2,citation
W4224278967,W2752106769,2022,2017,5,citation
W4224278967,W2805654773,2022,2018,4,citation
W4224278967,W2941564413,2022,2019,3,citation
W4224278967,W3109368403,2022,2020,2,citation
W4224278967,W3201890384,2022,2021,1,citation
W2770246800,W2761231271,2017,2017,0,citation
W2971237577,W2767735526,2019,2017,2,citation
W2971237577,W2786328515,2019,2018,1,citation
W4385872471,W2191767709,2023,2016,7,citation
W4385872471,W2606743486,2023,2017,6,citation
W4385872471,W3021168311,2023,2020,3,citation
W4385872471,W4383876264,2023,2023,0,citation
W3112826508,W3010184311,2020,2020,0,citation
W3216820735,W3181933907,2021,2021,0,citation
W3216820735,W3213229958,2021,2021,0,citation
W4221161559,W3178960719,2022,2021,1,citation
W4221161559,W4285805793,2022,2022,0,citation
W4285805793,W3092265654,2022,2020,2,citation
W4285805793,W3178960719,2022,2021,1,citation
W4285805793,W4221161559,2022,2022,0,citation
W4310502507,W2998120507,2022,2019,3,citation
W4310502507,W3047325770,2022,2020,2,citation
W4310502507,W3097963938,2022,2020,2,citation
W4310502507,W3176261411,2022,2021,1,citation
W4310502507,W3181770725,2022,2021,1,citation
W4310502507,W4310450715,2022,2022,0,citation
W4399117328,W4312397585,2024,2022,2,citation
W4399121919,W3193273784,2024,2021,3,citation
W4392455867,W2294488629,2024,2017,7,citation
W4392455867,W4229066375,2024,2022,2,citation
W2626121540,W2316760567,2017,2016,1,citation
W2791205746,W2607177050,2018,2017,1,citation
W4382243063,W2414478892,2023,2016,7,citation
W4382243063,W2802700341,2023,2017,6,citation
