source,target,year,ref_year,year_diff,type
W3184694814,W3096451849,2021,2020,1,citation
W3184694814,W3160579445,2021,2021,0,citation
W4244454952,W4244454952,2019,2019,0,citation
W3032654793,W3012535847,2020,2020,0,citation
W3139413507,W2981966775,2021,2019,2,citation
W3166995070,W3103375947,2021,2020,1,citation
W4220665701,W3026835752,2022,2020,2,citation
W4385973449,W3015354093,2023,2020,3,citation
W4385973449,W3022062196,2023,2020,3,citation
W4385973449,W4210305719,2023,2022,1,citation
W4385973449,W4213050154,2023,2022,1,citation
W4385973449,W4390871634,2023,2024,-1,citation
W4386799506,W2907342423,2023,2019,4,citation
W4386799506,W2968550879,2023,2019,4,citation
W4386799506,W2984798564,2023,2019,4,citation
W4386799506,W2991537405,2023,2019,4,citation
W4386799506,W3025646274,2023,2019,4,citation
W4386799506,W3177285624,2023,2021,2,citation
W4386799506,W4200257783,2023,2021,2,citation
W4386799506,W4224030833,2023,2022,1,citation
W4386799506,W4386812668,2023,2023,0,citation
W4386812668,W2907342423,2023,2019,4,citation
W4386812668,W2984798564,2023,2019,4,citation
W4386812668,W2991537405,2023,2019,4,citation
W4386812668,W3025646274,2023,2019,4,citation
W4386812668,W3126187630,2023,2021,2,citation
W4386812668,W3177285624,2023,2021,2,citation
W4386812668,W4200257783,2023,2021,2,citation
W4386812668,W4224030833,2023,2022,1,citation
W4386812668,W4292164704,2023,2022,1,citation
W4386812668,W4386799506,2023,2023,0,citation
W4387394308,W4383682887,2023,2023,0,citation
W3127408973,W3121726791,2021,2020,1,citation
W3127408973,W3123217365,2021,2019,2,citation
W4287778609,W3010733589,2022,2019,3,citation
W4287778609,W3019978809,2022,2020,2,citation
W4287778609,W3196710594,2022,2021,1,citation
W4287778609,W4205151932,2022,2021,1,citation
W4386409449,W3087842231,2023,2020,3,citation
W4386432140,W3002629292,2023,2020,3,citation
W4386432140,W3023068995,2023,2020,3,citation
W3012238861,W2923476030,2020,2019,1,citation
W4391614687,W2606791216,2024,2020,4,citation
W4367333357,W3128886963,2023,2021,2,citation
W4367333357,W3176682390,2023,2021,2,citation
W4367333406,W3128148885,2023,2021,2,citation
W4367333406,W4205088941,2023,2021,2,citation
W4401549083,W2972947022,2024,2019,5,citation
W4319297730,W3024753947,2023,2020,3,citation
W4328129801,W3181220194,2023,2021,2,citation
W4328129801,W3213660332,2023,2021,2,citation
W4362458512,W2997483170,2023,2019,4,citation
W4372278717,W2948369079,2023,2019,4,citation
W4372278717,W3037827183,2023,2020,3,citation
W4372278717,W4283459464,2023,2022,1,citation
W4372278717,W4283466230,2023,2022,1,citation
W4372278717,W4323688070,2023,2023,0,citation
W2567976222,W2625599568,2020,2020,0,citation
W3153286451,W3027609467,2021,2020,1,citation
W3159473038,W3105803210,2021,2020,1,citation
W3159473038,W3131947824,2021,2021,0,citation
W3195965863,W3000087339,2021,2020,1,citation
W4399254893,W4380669412,2024,2023,1,citation
W4399254893,W4393147047,2024,2024,0,citation
W4399254893,W4399254893,2024,2024,0,citation
W4396747296,W2965634651,2024,2019,5,citation
W4399255085,W3197079162,2024,2022,2,citation
W4399255085,W4391993504,2024,2024,0,citation
W4396855343,W4285330991,2024,2022,2,citation
W4388629253,W4292686881,2023,2022,1,citation
W4392839332,W2907342423,2024,2019,5,citation
W4392839332,W2951144698,2024,2019,5,citation
W4392839332,W2984798564,2024,2019,5,citation
W4392839332,W2991537405,2024,2019,5,citation
W4392839332,W3177285624,2024,2021,3,citation
W4392839332,W4200352035,2024,2021,3,citation
W4392839332,W4377821039,2024,2023,1,citation
W4393164569,W4220681111,2024,2022,2,citation
W4393202491,W2988046466,2024,2019,5,citation
W4393202491,W4382680720,2024,2023,1,citation
W4394947178,W2907911959,2024,2019,5,citation
W4394998529,W3043216033,2024,2020,4,citation
W4398210424,W3160868766,2024,2021,3,citation
W4398210424,W4283705483,2024,2022,2,citation
W4400315489,W4387857783,2024,2023,1,citation
W4210676598,W3014654829,2022,2020,2,citation
W4210676598,W3091810574,2022,2020,2,citation
W4210676598,W4210676598,2022,2022,0,citation
W4361192399,W3048396061,2023,2020,3,citation
W4361192399,W4295038031,2023,2022,1,citation
W4361192399,W4323834345,2023,2023,0,citation
W4362607924,W2945590102,2023,2019,4,citation
W4362607924,W2964784128,2023,2019,4,citation
W4362607924,W3042133646,2023,2020,3,citation
W4362607924,W3134035453,2023,2021,2,citation
W4362607924,W3210590548,2023,2021,2,citation
W4362607924,W3212373318,2023,2021,2,citation
W4362607924,W4214554111,2023,2022,1,citation
W4362607924,W4281262165,2023,2022,1,citation
W4362607924,W4293446399,2023,2022,1,citation
W4380668214,W2948369079,2023,2019,4,citation
W4380668214,W3037827183,2023,2020,3,citation
W4380668214,W4226391566,2023,2022,1,citation
W4293433450,W3093743393,2022,2020,2,citation
W4309046607,W4224267274,2022,2022,0,citation
W4309046607,W4294310905,2022,2022,0,citation
W4320035158,W3101483595,2023,2020,3,citation
W4320035158,W4288051887,2023,2022,1,citation
W3009614366,W2916873148,2020,2019,1,citation
W3063215723,W2907213040,2020,2019,1,citation
W3087713423,W2909157786,2020,2019,1,citation
W3087713423,W2923699723,2020,2019,1,citation
W3087713423,W2952105783,2020,2019,1,citation
W3087713423,W3034631655,2020,2020,0,citation
W3106741432,W3088026114,2020,2020,0,citation
W3106741432,W3102020094,2020,2021,-1,citation
W3133145128,W3133145128,2021,2021,0,citation
W2906390567,W3085973558,2022,2020,2,citation
W2913090754,W3049288516,2021,2020,1,citation
W3179414874,W2999461864,2021,2020,1,citation
W3179414874,W4230078551,2021,2019,2,citation
W4285257718,W4285257718,2022,2022,0,citation
W4386765097,W3201387271,2023,2021,2,citation
W4386765097,W3201613041,2023,2021,2,citation
W4386765097,W4312121034,2023,2022,1,citation
W4386790648,W3044184309,2023,2020,3,citation
W4386790648,W3086229013,2023,2020,3,citation
W4386790648,W3092994234,2023,2020,3,citation
W4386790648,W4225374989,2023,2022,1,citation
W4386790648,W4282563950,2023,2022,1,citation
W4386790648,W4386790648,2023,2023,0,citation
W4396661963,W3087041918,2024,2020,4,citation
W4396662081,W2471744027,2024,2020,4,citation
W4396667539,W4312898288,2024,2022,2,citation
W4396681742,W3020727334,2024,2020,4,citation
W4281761143,W2925819760,2022,2019,3,citation
W4281761143,W2979621529,2022,2019,3,citation
W4293077991,W3126724132,2022,2021,1,citation
W4293077991,W3127884219,2022,2021,1,citation
W4293077991,W4206322273,2022,2022,0,citation
W4293077991,W4360866998,2022,2023,-1,citation
W4293227721,W3047686302,2022,2020,2,citation
W4293227721,W3134136076,2022,2021,1,citation
W4294724320,W2997509481,2022,2019,3,citation
W4294724320,W3192921640,2022,2021,1,citation
W4385264929,W4226470220,2023,2022,1,citation
W4385264929,W4318391587,2023,2023,0,citation
W3203655364,W2963900797,2022,2019,3,citation
W3203655364,W3126946265,2022,2021,1,citation
W3203655364,W4220913814,2022,2022,0,citation
W4312401072,W2925057058,2022,2019,3,citation
W4312401072,W2948497665,2022,2019,3,citation
W4312401072,W2949086206,2022,2019,3,citation
W4312401072,W2966437379,2022,2019,3,citation
W4312401072,W2980170825,2022,2019,3,citation
W4312401072,W2991860863,2022,2019,3,citation
W4312401072,W3015038906,2022,2020,2,citation
W4312401072,W3121123532,2022,2021,1,citation
W4312401072,W3174120070,2022,2021,1,citation
W4312401072,W3212385028,2022,2021,1,citation
W4386923100,W4392462969,2023,2024,-1,citation
W4403978233,W3152081780,2024,2021,3,citation
W4382935858,W4315488781,2023,2022,1,citation
W4382935858,W4382935858,2023,2023,0,citation
W3009031709,W2989156993,2020,2019,1,citation
W4390872904,W2925057058,2023,2019,4,citation
W4390872904,W2948497665,2023,2019,4,citation
W4390872904,W2991860863,2023,2019,4,citation
W4390872904,W3015038906,2023,2020,3,citation
W4390872904,W3100586487,2023,2020,3,citation
W4390872904,W3211822152,2023,2021,2,citation
W4390872904,W4312401072,2023,2022,1,citation
W4390940292,W3126723625,2024,2021,3,citation
W4390940292,W4304190181,2024,2022,2,citation
W4390940292,W4391042170,2024,2024,0,citation
W3214004508,W3181933907,2021,2021,0,citation
W2991397615,W2908664272,2019,2019,0,citation
W2991397615,W2997815840,2019,2019,0,citation
W4214951305,W3080525044,2022,2020,2,citation
W4283221456,W2952877808,2022,2019,3,citation
W4283221456,W2971439707,2022,2019,3,citation
W4283221456,W2974481407,2022,2019,3,citation
W4283221456,W3145520847,2022,2021,1,citation
W4283221456,W3164037342,2022,2021,1,citation
W2989612229,W2899729961,2020,2019,1,citation
W3095708018,W2966971174,2020,2019,1,citation
W3095708018,W2990403152,2020,2019,1,citation
W3095708018,W2991258092,2020,2019,1,citation
W3097336213,W2982075768,2020,2019,1,citation
W3102343084,W2932915765,2020,2019,1,citation
W3102343084,W4254877707,2020,2020,0,citation
W3024692823,W2914619357,2020,2019,1,citation
W3024692823,W2957585919,2020,2019,1,citation
W3024692823,W2973546771,2020,2019,1,citation
W3024692823,W3004584189,2020,2020,0,citation
W4362723451,W4319596561,2023,2023,0,citation
W4366163612,W2970464009,2023,2019,4,citation
W4402815731,W2982750013,2024,2019,5,citation
W4402815731,W4280627324,2024,2022,2,citation
W4402815731,W4282973548,2024,2022,2,citation
W4402815731,W4321438913,2024,2023,1,citation
W4402815731,W4377939840,2024,2023,1,citation
W4402815731,W4386854174,2024,2023,1,citation
W4402815731,W4391482596,2024,2024,0,citation
W4402815731,W4393157130,2024,2024,0,citation
W4284884570,W3216698538,2022,2021,1,citation
W4284884570,W4310450715,2022,2022,0,citation
W4366976875,W3209652141,2023,2022,1,citation
W4366976875,W4306311619,2023,2022,1,citation
W4366991723,W3098962209,2023,2021,2,citation
W4377982054,W2918315081,2023,2019,4,citation
W4378349275,W4236186493,2023,2019,4,citation
W4378895368,W2945590102,2023,2019,4,citation
W4378895368,W3212373318,2023,2021,2,citation
W4378895368,W4214554111,2023,2022,1,citation
W4381848735,W4220844838,2023,2022,1,citation
W4381891527,W3037572520,2023,2020,3,citation
