id,year,citation_count,reference_count,patent_count,doctype,is_retracted,team_size,institution_count,in_degree,out_degree,total_degree
W3114407960,2020,3,17,0,preprint,False,2,1,1,1,2
W3122032510,2017,3,73,0,preprint,False,2,1,0,5,5
W4205656275,2022,3,48,0,article,False,4,3,0,1,1
W4206194903,2021,3,12,0,article,False,5,4,2,2,4
W4317389017,2023,3,72,0,article,False,14,6,0,1,1
W4366462678,2023,3,46,0,article,False,2837,245,0,7,7
W4382725174,2023,3,37,0,article,False,11,4,0,1,1
W4390871634,2024,3,40,0,article,False,7,1,2,3,5
W4391484939,2024,3,67,0,article,False,5,2,0,6,6
W4393111693,2024,3,45,0,article,False,24,9,0,1,1
W2809787282,2018,90,78,0,article,False,5,5,1,1,2
W2769897763,2017,88,95,0,review,False,4,4,5,0,5
W2993116133,2020,74,98,0,article,False,2901,257,1,5,6
W3122291569,2020,75,52,0,article,False,2,2,5,2,7
W2604409840,2017,84,122,0,review,False,10,4,2,2,4
W2786563304,2018,84,40,0,article,False,2852,250,1,1,2
W2900920975,2018,84,80,0,article,False,2874,262,0,6,6
W2612526608,2017,82,50,0,article,False,9,3,13,1,14
W3022252788,2020,81,171,0,article,False,2883,257,3,11,14
W4282937133,2022,82,58,0,article,False,6,7,1,0,1
W3038088335,2020,81,39,0,article,False,4,3,6,3,9
W2962762178,2019,81,81,0,article,False,2261,215,2,3,5
W4229066375,2022,70,53,0,article,False,2856,252,2,6,8
W2288983699,2016,78,36,0,article,False,3,2,4,0,4
W2739990171,2017,75,70,0,article,False,5,3,0,2,2
W2946224091,2019,71,221,0,article,False,2850,263,1,4,5
W3176886228,2021,71,168,0,article,False,2813,255,0,12,12
W2323913424,2016,76,31,0,article,False,2,1,10,0,10
W2895673306,2018,77,30,0,article,False,2,3,1,0,1
W2800650650,2018,75,82,0,article,False,4,4,3,1,4
W2901540897,2019,76,78,0,article,False,2896,256,1,4,5
W3155365501,2021,75,26,0,article,False,20,13,7,1,8
W3159239984,2021,76,17,0,article,False,34,28,1,0,1
W2510789027,2016,75,57,0,article,False,2,1,1,1,2
W4224004358,2022,72,85,0,review,False,4,3,2,3,5
W2281933602,2016,71,28,0,article,False,5,4,1,0,1
W2788435232,2018,69,28,0,article,False,4,4,13,1,14
W2942224722,2019,70,48,2,article,False,6,3,2,0,2
W2944710259,2019,69,131,0,article,False,9,4,11,4,15
W3126074545,2016,69,74,0,article,False,2,2,9,0,9
W2811448914,2018,70,58,0,article,False,2877,256,0,3,3
W2767534648,2018,69,86,0,article,False,2840,253,2,5,7
W2994804089,2020,64,96,0,article,False,2892,253,2,2,4
W3035502689,2020,66,17,0,article,False,12,6,2,2,4
W2753865463,2017,67,31,0,article,False,5,2,19,0,19
W2908327153,2018,67,45,0,article,False,2,1,5,0,5
W2898821016,2018,65,30,4,article,False,5,2,6,0,6
W1897921166,2016,64,96,0,article,False,2823,244,1,1,2
W2798127201,2018,64,51,0,article,False,5,4,7,1,8
W2724891500,2017,63,36,0,article,False,2813,247,4,1,5
W2899839204,2018,62,49,0,article,False,2854,255,3,3,6
W2969369747,2019,63,67,0,article,False,5,3,2,0,2
W4205651720,2021,51,157,0,article,False,146,106,0,2,2
W2808617619,2018,60,75,0,article,False,3,3,3,0,3
W4306353010,2022,62,143,0,article,False,108,72,0,2,2
W2442001974,2016,61,67,0,article,False,3,2,2,0,2
W4385428330,2023,60,28,0,article,False,2849,271,2,5,7
W2965261951,2019,55,28,0,article,False,2,4,0,1,1
W3035034999,2020,59,155,0,article,False,2878,254,5,6,11
W3086454447,2020,59,141,0,article,False,2,1,2,1,3
W4280530914,2022,59,34,0,article,False,4,4,4,1,5
W2950293456,2020,56,71,0,article,False,2,1,3,0,3
W2981457903,2020,55,108,0,article,False,2894,258,4,6,10
W4230078551,2019,52,29,0,article,False,13,11,2,1,3
W4283650591,2022,57,82,0,article,False,8,7,0,2,2
W2784094280,2018,55,30,0,article,False,5,3,0,1,1
W2897919870,2018,56,74,0,review,False,2,1,1,1,2
W3129959898,2021,56,122,0,review,False,2,1,0,3,3
W3081205401,2020,54,49,0,article,False,3,3,0,2,2
W2172043897,2016,54,92,0,article,False,2812,240,1,1,2
W2884159946,2018,54,63,0,article,False,5,4,2,2,4
W3094136409,2020,54,76,0,article,False,6,7,3,1,4
W2564157693,2017,45,52,0,article,False,3,1,5,0,5
W2600269031,2017,53,25,0,article,False,3,3,5,1,6
W2936750025,2019,53,109,0,article,False,6,5,2,0,2
W2968659858,2019,50,96,0,article,False,2275,198,1,3,4
W2917811447,2019,48,83,0,article,False,2923,255,2,4,6
W2596997902,2017,50,57,0,article,False,5,4,2,2,4
W2621469050,2017,50,71,0,article,False,5,2,1,0,1
W2732960953,2017,50,30,2,article,False,8,4,0,1,1
W2907323068,2019,50,63,0,article,False,2910,256,10,5,15
W2971008919,2019,38,92,0,article,False,2881,261,1,3,4
W4281633350,2022,49,172,0,review,False,4,1,5,7,12
W2741177915,2017,47,45,0,article,False,7,1,1,1,2
W2808019650,2017,39,78,0,article,False,2791,252,2,2,4
W2884241072,2019,46,79,0,article,False,2836,254,5,3,8
W2898094765,2018,49,29,0,article,False,8,4,5,1,6
W3037355174,2020,50,44,0,article,False,2269,199,0,2,2
W3154472040,2021,47,26,0,article,False,4,1,1,1,2
W3198152929,2021,48,89,0,article,False,2322,224,1,1,2
W4206350156,2022,48,45,0,article,False,2,2,1,0,1
W2593263443,2017,47,12,0,article,False,2,2,0,1,1
W3080275719,2020,47,57,0,article,False,3,3,3,11,14
W3209593805,2021,47,32,0,article,False,6,3,1,4,5
W3141284861,2021,45,67,0,article,False,5,4,0,1,1
W4390873343,2023,46,55,0,article,False,7,5,1,3,4
W2782725351,2018,45,54,0,article,False,2263,210,1,3,4
W3035076551,2020,44,50,0,article,False,2895,257,8,9,17
W3197468999,2021,45,80,0,article,False,8,5,2,7,9
W2417598524,2016,43,38,0,article,False,10,3,2,0,2
W2792023983,2018,44,30,0,article,False,4,2,2,0,2
W3120584803,2021,42,109,0,article,False,2343,214,2,0,2
W3160589955,2021,44,41,0,article,False,3,2,1,1,2
W4206771140,2019,43,0,0,article,False,0,0,1,0,1
W1901591891,2016,43,99,0,article,False,2817,246,5,2,7
W2767360608,2017,41,54,0,article,False,5,3,3,0,3
W2794899337,2018,42,36,0,article,False,6,5,3,0,3
