id,year,citation_count,reference_count,patent_count,doctype,team_size,institution_count,in_degree,out_degree,total_degree
W4399021291,2021,0,0,0,article,0,0,0,0,0
W4399021292,2021,0,0,0,article,0,0,0,0,0
W4399021294,2021,0,0,0,article,0,0,0,0,0
W4399021295,2021,0,0,0,article,0,0,0,0,0
W4399021296,2021,0,0,0,article,0,0,0,0,0
W4399021297,2021,0,0,0,article,0,0,0,0,0
W4399021349,2021,0,0,0,article,0,0,0,0,0
W4399021352,2021,0,0,0,article,0,0,0,0,0
W4399021354,2021,0,0,0,article,0,0,0,0,0
W4399021357,2021,0,0,0,article,0,0,0,0,0
W4399021359,2021,0,0,0,article,0,0,0,0,0
W4399021360,2021,0,0,0,article,0,0,0,0,0
W4399021368,2021,0,0,0,article,0,0,0,0,0
W4399021371,2021,0,0,0,article,0,0,0,0,0
W4399021372,2021,0,0,0,article,0,0,0,0,0
W4399021392,2021,0,0,0,article,0,0,0,0,0
W4399021394,2021,0,0,0,article,0,0,0,0,0
W4399021395,2021,0,0,0,article,0,0,0,0,0
W4399021517,2021,0,0,0,article,0,0,0,0,0
W4399021519,2023,0,0,0,article,0,0,0,0,0
W4399021520,2021,0,0,0,article,0,0,0,0,0
W4399021521,2021,0,0,0,article,0,0,0,0,0
W4399021522,2021,0,0,0,article,0,0,0,0,0
W4399021625,2021,0,0,0,article,0,0,0,0,0
W4399021626,2021,0,0,0,article,0,0,0,0,0
W4399021627,2021,0,0,0,article,0,0,0,0,0
W4399021628,2021,0,0,0,article,0,0,0,0,0
W4399021630,2021,0,0,0,article,0,0,0,0,0
W4399021661,2021,0,0,0,article,0,0,0,0,0
W4399021666,2021,0,0,0,article,0,0,0,0,0
W4399021667,2021,0,0,0,article,0,0,0,0,0
W4399021670,2021,0,0,0,article,0,0,0,0,0
W4399021681,2022,0,0,0,article,0,0,0,0,0
W4399021683,2021,0,0,0,article,0,0,0,0,0
W4399021684,2021,0,0,0,article,0,0,0,0,0
W4399021685,2021,0,0,0,article,0,0,0,0,0
W4399021686,2021,0,0,0,article,0,0,0,0,0
W4399021688,2021,0,0,0,article,0,0,0,0,0
W4399021692,2021,0,0,0,article,0,0,0,0,0
W4399021695,2021,0,0,0,article,0,0,0,0,0
W4399021696,2021,0,0,0,article,0,0,0,0,0
