paperid,year,date,cited_by_count,reference_count,citation_count,patent_count
W4399021291,2021,2021-05-18,0,0,0,0
W4399021292,2021,2021-05-18,0,0,0,0
W4399021294,2021,2021-05-18,0,0,0,0
W4399021295,2021,2021-05-18,0,0,0,0
W4399021296,2021,2021-05-18,0,0,0,0
W4399021297,2021,2021-05-18,0,0,0,0
W4399021349,2021,2021-05-18,0,0,0,0
W4399021352,2021,2021-05-18,0,0,0,0
W4399021354,2021,2021-05-18,0,0,0,0
W4399021357,2021,2021-05-18,0,0,0,0
W4399021359,2021,2021-05-18,0,0,0,0
W4399021360,2021,2021-05-18,0,0,0,0
W4399021368,2021,2021-05-18,0,0,0,0
W4399021371,2021,2021-05-18,0,0,0,0
W4399021372,2021,2021-05-17,0,0,0,0
W4399021392,2021,2021-05-18,0,0,0,0
W4399021394,2021,2021-05-18,0,0,0,0
W4399021395,2021,2021-05-18,0,0,0,0
W4399021517,2021,2021-05-18,0,0,0,0
W4399021519,2023,2023-02-17,0,0,0,0
W4399021520,2021,2021-05-18,0,0,0,0
W4399021521,2021,2021-05-18,0,0,0,0
W4399021522,2021,2021-05-18,0,0,0,0
W4399021625,2021,2021-05-18,0,0,0,0
W4399021626,2021,2021-05-18,0,0,0,0
W4399021627,2021,2021-05-18,0,0,0,0
W4399021628,2021,2021-05-18,0,0,0,0
W4399021630,2021,2021-05-18,0,0,0,0
W4399021661,2021,2021-05-18,0,0,0,0
W4399021666,2021,2021-05-18,0,0,0,0
W4399021667,2021,2021-05-18,0,0,0,0
W4399021670,2021,2021-05-18,0,0,0,0
W4399021681,2022,2022-07-01,0,0,0,0
W4399021683,2021,2021-05-18,0,0,0,0
W4399021684,2021,2021-05-18,0,0,0,0
W4399021685,2021,2021-05-18,0,0,0,0
W4399021686,2021,2021-05-18,0,0,0,0
W4399021688,2021,2021-05-18,0,0,0,0
W4399021692,2021,2021-05-18,0,0,0,0
W4399021695,2021,2021-05-18,0,0,0,0
W4399021696,2021,2021-05-18,0,0,0,0
W4399021697,2021,2021-05-18,0,0,0,0
W4399021698,2021,2021-05-18,0,0,0,0
W4399021699,2021,2021-05-18,0,0,0,0
W4399021700,2021,2021-05-18,0,0,0,0
W4399021707,2021,2021-05-18,0,0,0,0
W4399021708,2021,2021-05-18,0,0,0,0
W4399021709,2021,2021-05-18,0,0,0,0
W4399021710,2021,2021-05-18,0,0,0,0
W4399021712,2021,2021-05-18,0,0,0,0
W4399021724,2021,2021-05-18,0,0,0,0
W4399021725,2021,2021-05-18,0,0,0,0
W4399021727,2021,2021-05-18,0,0,0,0
W4399021730,2023,2023-02-02,0,0,0,0
W4399021731,2021,2021-05-18,0,0,0,0
W4399021733,2021,2021-05-18,0,0,0,0
W4399021737,2021,2021-05-18,0,0,0,0
W4399021740,2021,2021-05-18,0,0,0,0
W4399021741,2021,2021-05-18,0,0,0,0
W4399021742,2023,2023-02-18,0,0,0,0
W4399021745,2021,2021-05-18,0,0,0,0
W4399021746,2021,2021-05-18,0,0,0,0
W4399021747,2021,2021-05-18,0,0,0,0
W4399021748,2021,2021-05-18,0,0,0,0
W4399021749,2021,2021-05-18,0,0,0,0
W4399021751,2021,2021-05-18,0,0,0,0
W4399021754,2021,2021-05-18,0,0,0,0
W4399021755,2021,2021-05-18,0,0,0,0
W4399021762,2021,2021-05-18,0,0,0,0
W4399021763,2021,2021-05-18,0,0,0,0
W4399021764,2021,2021-05-18,0,0,0,0
W4399021765,2021,2021-05-18,0,0,0,0
W4399021769,2021,2021-05-17,0,0,0,0
W4399021883,2021,2021-05-18,0,0,0,0
W4399021885,2021,2021-05-18,0,0,0,0
W4399021887,2021,2021-05-18,0,0,0,0
W4399021888,2021,2021-05-18,0,0,0,0
W4399021975,2021,2021-05-18,0,0,0,0
W4399021978,2021,2021-05-18,0,0,0,0
W4399021982,2021,2021-05-18,0,0,0,0
W4399021984,2021,2021-05-18,0,0,0,0
W4399021991,2021,2021-05-18,0,0,0,0
W4399021992,2021,2021-05-18,0,0,0,0
W4399021993,2021,2021-05-18,0,0,0,0
W4399021995,2021,2021-05-18,0,0,0,0
W4399021997,2021,2021-05-18,0,0,0,0
W4399021998,2021,2021-05-18,0,0,0,0
W4399022114,2021,2021-05-18,0,0,0,0
W4399022115,2021,2021-05-18,0,0,0,0
W4399022116,2021,2021-05-18,0,0,0,0
W4399022117,2021,2021-05-18,0,0,0,0
W4399022119,2021,2021-05-18,0,0,0,0
W4399022120,2021,2021-05-17,0,0,0,0
W4399022121,2021,2021-05-18,0,0,0,0
W4399022122,2021,2021-05-18,0,0,0,0
W4399064101,2020,2020-04-15,0,0,0,0
W4399064103,2020,2020-04-15,0,0,0,0
W4399064104,2020,2020-04-15,0,0,0,0
W4399064108,2020,2020-04-15,0,0,0,0
W4399064109,2020,2020-04-15,0,0,0,0
W4399064110,2020,2020-04-14,0,0,0,0
W4399064116,2020,2020-04-15,0,0,0,0
W4399064117,2020,2020-04-15,0,0,0,0
W4399064122,2020,2020-04-15,0,0,0,0
W4399064124,2020,2020-04-15,0,0,0,0
W4399064126,2020,2020-04-15,0,0,0,0
W4399064128,2020,2020-04-15,0,0,0,0
W4399064129,2020,2020-04-15,0,0,0,0
W4399064131,2020,2020-04-15,0,0,0,0
W4399064134,2020,2020-04-15,0,0,0,0
W4399064135,2020,2020-04-15,0,0,0,0
W4399064139,2020,2020-04-15,0,0,0,0
W4399064142,2020,2020-04-15,0,0,0,0
W4399064143,2020,2020-04-15,0,0,0,0
W4399064144,2020,2020-04-15,0,0,0,0
W4399064158,2020,2020-04-15,0,0,0,0
W4399064161,2020,2020-04-15,0,0,0,0
W4399064162,2020,2020-04-14,0,0,0,0
W4399064163,2020,2020-04-15,0,0,0,0
W4399064167,2020,2020-04-15,0,0,0,0
W4399064169,2020,2020-04-16,0,0,0,0
W4399064170,2020,2020-04-15,0,0,0,0
W4399064173,2020,2020-04-15,0,0,0,0
W4399064174,2020,2020-04-15,0,0,0,0
W4399064179,2020,2020-04-15,0,0,0,0
W4399064180,2020,2020-04-15,0,0,0,0
W4399064183,2020,2020-04-15,0,0,0,0
W4399064185,2020,2020-04-15,0,0,0,0
W4399064189,2020,2020-04-15,0,0,0,0
W4399064191,2020,2020-04-15,0,0,0,0
W4399064193,2020,2020-04-15,0,0,0,0
W4399064195,2020,2020-04-15,0,0,0,0
W4399064197,2020,2020-04-15,0,0,0,0
W4399064204,2020,2020-04-15,0,0,0,0
W4399064206,2020,2020-04-15,0,0,0,0
W4399064207,2020,2020-04-15,0,0,0,0
W4399064208,2020,2020-04-15,0,0,0,0
W4399064210,2020,2020-04-15,0,0,0,0
W4399064211,2020,2020-04-15,0,0,0,0
W4399064212,2020,2020-04-15,0,0,0,0
W4399064214,2020,2020-04-15,0,0,0,0
W4399064215,2020,2020-04-15,0,0,0,0
W4399064216,2020,2020-04-15,0,0,0,0
W4399064218,2020,2020-04-15,0,0,0,0
W4399064219,2020,2020-04-15,0,0,0,0
W4399064221,2020,2020-04-15,0,0,0,0
W4399064224,2020,2020-04-15,0,0,0,0
W4399064226,2020,2020-04-15,0,0,0,0
W4399064231,2020,2020-04-15,0,0,0,0
W4399064233,2020,2020-04-15,0,0,0,0
W4399064234,2020,2020-04-15,0,0,0,0
W4399064236,2020,2020-04-15,0,0,0,0
W4399064237,2020,2020-04-15,0,0,0,0
W4399064239,2020,2020-04-15,0,0,0,0
W4399064240,2020,2020-04-15,0,0,0,0
W4399064242,2020,2020-04-15,0,0,0,0
W4399064244,2020,2020-04-15,0,0,0,0
W4399064246,2020,2020-04-15,0,0,0,0
W4399064247,2020,2020-04-15,0,0,0,0
W4399064255,2020,2020-04-15,0,0,0,0
W4399064257,2020,2020-04-15,0,0,0,0
W4399064258,2020,2020-04-15,0,0,0,0
W4399064259,2020,2020-04-15,0,0,0,0
W4399064260,2020,2020-04-15,0,0,0,0
W4399064261,2020,2020-04-15,0,0,0,0
W4399064262,2020,2020-04-15,0,0,0,0
W4399064267,2020,2020-04-15,0,0,0,0
W4399064268,2020,2020-04-15,0,0,0,0
W4399064269,2020,2020-04-15,0,0,0,0
W4399064272,2020,2020-04-15,0,0,0,0
W4399064275,2020,2020-04-15,0,0,0,0
W4399064277,2020,2020-04-15,0,0,0,0
W4399064279,2020,2020-04-15,0,0,0,0
W4399064282,2020,2020-04-14,0,0,0,0
W4399064283,2020,2020-04-15,0,0,0,0
W4399064284,2020,2020-04-15,0,0,0,0
W4399064288,2020,2020-04-15,0,0,0,0
W4399064290,2020,2020-04-15,0,0,0,0
W4399064292,2020,2020-04-15,0,0,0,0
W4399064295,2020,2020-04-15,0,0,0,0
W4399064296,2020,2020-04-15,0,0,0,0
W4399064298,2020,2020-04-15,0,0,0,0
W4399064300,2020,2020-04-15,0,0,0,0
W4399064301,2020,2020-04-15,0,0,0,0
W4399064304,2020,2020-04-15,0,0,0,0
W4399064306,2020,2020-04-15,0,0,0,0
W4399064307,2020,2020-04-15,0,0,0,0
W4399064310,2020,2020-04-15,0,0,0,0
W4399064311,2020,2020-04-15,0,0,0,0
W4399064313,2020,2020-04-15,0,0,0,0
W4399064316,2020,2020-04-14,0,0,0,0
W4399064319,2020,2020-04-15,0,0,0,0
W4399064323,2020,2020-04-15,0,0,0,0
W4399064324,2020,2020-04-15,0,0,0,0
W4399064329,2020,2020-04-15,0,0,0,0
W4399064331,2020,2020-04-15,0,0,0,0
W4399064333,2020,2020-04-15,0,0,0,0
W4399064338,2020,2020-04-15,0,0,0,0
W4399064341,2020,2020-04-15,0,0,0,0
W4399064342,2020,2020-04-15,0,0,0,0
W4399064344,2020,2020-04-14,0,0,0,0
W4399064346,2020,2020-04-15,0,0,0,0
W4399064347,2020,2020-04-15,0,0,0,0
W4399064349,2020,2020-04-15,0,0,0,0
W4399064352,2020,2020-04-15,0,0,0,0
W4399064353,2020,2020-04-15,0,0,0,0
W4399064357,2020,2020-04-15,0,0,0,0
W4399064358,2020,2020-04-15,0,0,0,0
W4399064359,2020,2020-04-15,0,0,0,0
W4399064365,2020,2020-04-15,0,0,0,0
W4399064366,2020,2020-04-15,0,0,0,0
W4399064367,2020,2020-04-15,0,0,0,0
W4399064375,2020,2020-04-15,0,0,0,0
W4399064378,2020,2020-04-15,0,0,0,0
W4399064388,2020,2020-04-15,0,0,0,0
W4399064391,2020,2020-04-15,0,0,0,0
W4399064392,2020,2020-04-15,0,0,0,0
W4399064393,2020,2020-04-15,0,0,0,0
W4399064397,2020,2020-04-15,0,0,0,0
W4399064402,2020,2020-04-15,0,0,0,0
W4399064404,2020,2020-04-15,0,0,0,0
W4399064407,2020,2020-04-15,0,0,0,0
W4399064414,2020,2020-04-15,0,0,0,0
W4399064417,2020,2020-04-15,0,0,0,0
W4399109418,2020,2020-02-26,0,0,0,0
W4399109420,2020,2020-02-26,0,0,0,0
W4399109423,2020,2020-02-26,0,0,0,0
W4399109430,2020,2020-02-26,0,0,0,0
W4399109432,2020,2020-02-26,0,0,0,0
W4399109465,2020,2020-02-26,0,0,0,0
W4399109466,2020,2020-02-26,0,0,0,0
W4399109467,2020,2020-02-26,0,0,0,0
W4399109469,2020,2020-02-26,0,0,0,0
W4399109472,2020,2020-02-26,0,0,0,0
W4399109473,2020,2020-02-26,0,0,0,0
W4399109486,2020,2020-02-26,0,0,0,0
W4399109487,2020,2020-02-26,0,0,0,0
W4399109490,2020,2020-02-26,0,0,0,0
W4399109492,2020,2020-02-26,0,0,0,0
W4399109494,2020,2020-02-26,0,0,0,0
W4399109495,2020,2020-02-26,0,0,0,0
W4399109503,2020,2020-02-26,0,0,0,0
W4399109504,2020,2020-02-26,0,0,0,0
W4399109505,2020,2020-02-26,0,0,0,0
W4399109506,2020,2020-02-26,0,0,0,0
W4399109507,2020,2020-02-26,0,0,0,0
W4399109508,2020,2020-02-26,0,0,0,0
W4399109509,2020,2020-02-26,0,0,0,0
W4399109518,2020,2020-02-26,0,0,0,0
W4399109519,2020,2020-02-26,0,0,0,0
W4399109523,2020,2020-02-26,0,0,0,0
W4399109525,2020,2020-02-26,0,0,0,0
W4399109526,2020,2020-02-26,0,0,0,0
W4399109563,2020,2020-02-26,0,0,0,0
W4399109567,2020,2020-02-26,0,0,0,0
W4399109792,2020,2020-02-26,0,0,0,0
W4399109793,2020,2020-02-26,0,0,0,0
W4399109797,2020,2020-02-26,0,0,0,0
W4399109798,2020,2020-02-26,0,0,0,0
W4399109872,2020,2020-02-06,0,0,0,0
W4399113158,2020,2020-04-15,0,0,0,0
W4399113417,2020,2020-04-15,0,0,0,0
W4399113420,2020,2020-04-15,0,0,0,0
W4399113425,2020,2020-04-15,0,0,0,0
W4399113426,2020,2020-04-15,0,0,0,0
W4399113441,2020,2020-04-15,0,0,0,0
W4399113448,2020,2020-04-15,0,0,0,0
W4399113461,2020,2020-04-15,0,0,0,0
W4399113469,2020,2020-04-15,0,0,0,0
W4399113483,2020,2020-04-15,0,0,0,0
W4399113492,2020,2020-04-15,0,0,0,0
W4399113493,2020,2020-04-15,0,0,0,0
W4399113497,2020,2020-04-15,0,0,0,0
W4399113498,2020,2020-04-15,0,0,0,0
W4399113504,2020,2020-04-15,0,0,0,0
W4399113506,2020,2020-04-15,0,0,0,0
W4399113508,2020,2020-04-15,0,0,0,0
W4399113509,2020,2020-04-15,0,0,0,0
W4399113510,2020,2020-04-15,0,0,0,0
W4399113514,2020,2020-04-15,0,0,0,0
W4399113516,2020,2020-04-15,0,0,0,0
W4399113519,2020,2020-04-15,0,0,0,0
W4399113520,2020,2020-04-15,0,0,0,0
W4399115681,2020,2020-04-15,0,0,0,0
